term,normalized_term,category,confidence,reason,table_count,total_occurrences,header_table_count,title_table_count,cell_table_count,unit_context_table_count,measure_context_table_count,generic_context_table_count,unit_only_table_count,measure_only_table_count,generic_only_table_count,mixed_context_table_count,unit_lexical_match,measure_lexical_match,sources,columns
nace_r1,nace_r1,dimension_name,high,Predominantly appears as a descriptive table header.,21,21,21,0,0,0,0,0,0,0,0,0,False,False,header,nace_r1
Professional position,professional position,dimension_name,high,Predominantly appears as a descriptive table header.,21,21,21,0,0,0,0,0,0,0,0,0,False,False,header,Professional position
Labour cost indicators,labour cost indicators,dimension_name,high,Predominantly appears as a descriptive table header.,20,20,20,0,0,0,0,0,0,0,0,0,False,True,header,Labour cost indicators
Survey on variables under vines,survey on variables under vines,dimension_name,high,Predominantly appears as a descriptive table header.,20,20,20,0,0,0,0,0,0,0,0,0,False,False,header,Survey on variables under vines
Category,category,dimension_name,high,Predominantly appears as a descriptive table header.,19,19,19,0,0,0,0,0,0,0,0,0,False,False,header,Category
Category of persons,category of persons,dimension_name,high,Predominantly appears as a descriptive table header.,19,19,19,0,0,0,0,0,0,0,0,0,False,False,header,Category of persons
Education or training field,education or training field,dimension_name,high,Predominantly appears as a descriptive table header.,19,19,19,0,0,0,0,0,0,0,0,0,False,False,header,Education or training field
Effects,effects,dimension_name,high,Predominantly appears as a descriptive table header.,19,19,19,0,0,0,0,0,0,0,0,0,False,False,header,Effects
n_child,n_child,dimension_name,high,Predominantly appears as a descriptive table header.,19,19,19,0,0,0,0,0,0,0,0,0,False,False,header,n_child
partner,partner,dimension_name,high,Predominantly appears as a descriptive table header.,19,19,19,0,0,0,0,0,0,0,0,0,False,False,header,partner
TAX,tax,dimension_name,high,Predominantly appears as a descriptive table header.,18,187073,9,0,9,0,0,9,0,0,9,0,False,False,cell|header,Subject of the regulation/legislation|indic_ag|tax
Category of schemes,category of schemes,dimension_name,high,Predominantly appears as a descriptive table header.,18,18,18,0,0,0,0,0,0,0,0,0,False,False,header,Category of schemes
