term,normalized_term,category,confidence,reason,table_count,total_occurrences,header_table_count,title_table_count,cell_table_count,unit_context_table_count,measure_context_table_count,generic_context_table_count,unit_only_table_count,measure_only_table_count,generic_only_table_count,mixed_context_table_count,unit_lexical_match,measure_lexical_match,sources,columns
Median age of population - females,median age of population - females,measure,high,Matches a measure pattern and appears in a statistical-indicator column.,2,102,0,0,2,0,1,1,0,1,1,0,False,True,cell,Categorisation of active substances for harmonised risk indicator|Demographic indicator
Median age of population - males,median age of population - males,measure,high,Matches a measure pattern and appears in a statistical-indicator column.,2,102,0,0,2,0,1,1,0,1,1,0,False,True,cell,Categorisation of active substances for harmonised risk indicator|Demographic indicator
Old-age dependency ratio 1st variant (population 65 years or over to population 15 to 64 years),old-age dependency ratio 1st variant (population 65 years or over to population 15 to 64 years),measure,high,Matches a measure pattern and appears in a statistical-indicator column.,2,102,0,0,2,0,1,1,0,1,1,0,False,True,cell,Categorisation of active substances for harmonised risk indicator|Demographic indicator
Proportion of population aged 0-17 years,proportion of population aged 0-17 years,measure,high,Matches a measure pattern and appears in a statistical-indicator column.,2,102,0,0,2,0,1,1,0,1,1,0,False,True,cell,Categorisation of active substances for harmonised risk indicator|Demographic indicator
Proportion of population aged 15-24 years,proportion of population aged 15-24 years,measure,high,Matches a measure pattern and appears in a statistical-indicator column.,2,102,0,0,2,0,1,1,0,1,1,0,False,True,cell,Categorisation of active substances for harmonised risk indicator|Demographic indicator
Proportion of population aged 25-49 years,proportion of population aged 25-49 years,measure,high,Matches a measure pattern and appears in a statistical-indicator column.,2,102,0,0,2,0,1,1,0,1,1,0,False,True,cell,Categorisation of active substances for harmonised risk indicator|Demographic indicator
Proportion of population aged 50-64 years,proportion of population aged 50-64 years,measure,high,Matches a measure pattern and appears in a statistical-indicator column.,2,102,0,0,2,0,1,1,0,1,1,0,False,True,cell,Categorisation of active substances for harmonised risk indicator|Demographic indicator
Deaths - females,deaths - females,measure,high,Matches a measure pattern and appears in a statistical-indicator column.,2,100,0,0,2,0,1,1,0,1,1,0,False,True,cell,Categorisation of active substances for harmonised risk indicator|Demographic indicator
Deaths - males,deaths - males,measure,high,Matches a measure pattern and appears in a statistical-indicator column.,2,100,0,0,2,0,1,1,0,1,1,0,False,True,cell,Categorisation of active substances for harmonised risk indicator|Demographic indicator
Live births - females,live births - females,measure,high,Matches a measure pattern and appears in a statistical-indicator column.,2,100,0,0,2,0,1,1,0,1,1,0,False,True,cell,Categorisation of active substances for harmonised risk indicator|Demographic indicator
Live births - males,live births - males,measure,high,Matches a measure pattern and appears in a statistical-indicator column.,2,100,0,0,2,0,1,1,0,1,1,0,False,True,cell,Categorisation of active substances for harmonised risk indicator|Demographic indicator
Mean age of women at birth of first child,mean age of women at birth of first child,measure,high,Matches a measure pattern and appears in a statistical-indicator column.,2,92,0,0,2,0,1,1,0,1,1,0,False,True,cell,Categorisation of active substances for harmonised risk indicator|Demographic indicator
Raw material consumption,raw material consumption,measure,high,Matches a measure pattern and appears in a statistical-indicator column.,2,90,0,0,2,0,2,0,0,2,0,0,False,True,cell,Environment indicator
Mean age at first marriage - females,mean age at first marriage - females,measure,high,Matches a measure pattern and appears in a statistical-indicator column.,2,88,0,0,2,0,1,1,0,1,1,0,False,True,cell,Categorisation of active substances for harmonised risk indicator|Demographic indicator
Mean age at first marriage - males,mean age at first marriage - males,measure,high,Matches a measure pattern and appears in a statistical-indicator column.,2,88,0,0,2,0,1,1,0,1,1,0,False,True,cell,Categorisation of active substances for harmonised risk indicator|Demographic indicator
Monthly minimum wage as a proportion of the mean gross monthly earnings,monthly minimum wage as a proportion of the mean gross monthly earnings,measure,high,Matches a measure pattern and appears in a statistical-indicator column.,2,86,0,0,2,0,2,0,0,2,0,0,False,True,cell,Structure of earnings indicator
At risk of poverty rate (cut-off point: 40% of median equivalised income),at risk of poverty rate (cut-off point: 40% of median equivalised income),measure,high,Matches a measure pattern and appears in a statistical-indicator column.,2,82,0,0,2,0,2,0,0,2,0,0,False,True,cell,Income and living conditions indicator
At risk of poverty rate (cut-off point: 50% of median equivalised income),at risk of poverty rate (cut-off point: 50% of median equivalised income),measure,high,Matches a measure pattern and appears in a statistical-indicator column.,2,82,0,0,2,0,2,0,0,2,0,0,False,True,cell,Income and living conditions indicator
At risk of poverty rate (cut-off point: 70% of median equivalised income),at risk of poverty rate (cut-off point: 70% of median equivalised income),measure,high,Matches a measure pattern and appears in a statistical-indicator column.,2,82,0,0,2,0,2,0,0,2,0,0,False,True,cell,Income and living conditions indicator
Internet use: never,internet use: never,measure,high,Predominantly appears exclusively in statistical measure columns.,2,78,0,0,2,0,2,0,0,2,0,0,False,False,cell,Information society indicator
Infant mortality rate,infant mortality rate,measure,high,Matches a measure pattern and appears in a statistical-indicator column.,2,77,0,1,2,0,2,0,0,2,0,0,False,True,cell|title,Demographic indicator|title
Children aged 0-17 living in jobless households: share of persons aged 0-17 who are living in households where no-one is working,children aged 0-17 living in jobless households: share of persons aged 0-17 who are living in households where no-one is working,measure,high,Matches a measure pattern and appears in a statistical-indicator column.,2,72,0,0,2,0,2,0,0,2,0,0,False,True,cell,Employment indicator
Total investment,total investment,measure,high,Matches a measure pattern and appears in a statistical-indicator column.,2,72,0,0,2,0,2,0,0,2,0,0,False,True,cell,Indicator
Wages and salaries,wages and salaries,measure,high,Predominantly appears exclusively in statistical measure columns.,2,72,0,0,2,0,2,0,0,2,0,0,False,False,cell,Business trend indicator
GDP (stocks in % of GDP),gdp (stocks in % of gdp),measure,high,Matches a measure pattern and appears in a statistical-indicator column.,2,71,0,0,2,0,2,0,0,2,0,0,False,True,cell,Balance of payments indicator
Hours worked by employees,hours worked by employees,measure,high,Predominantly appears exclusively in statistical measure columns.,2,71,0,0,2,0,2,0,0,2,0,0,False,False,cell,Business trend indicator
Business investment,business investment,measure,high,Predominantly appears exclusively in statistical measure columns.,2,70,0,0,2,0,2,0,0,2,0,0,False,False,cell,Indicator
Households investment,households investment,measure,high,Predominantly appears exclusively in statistical measure columns.,2,70,0,0,2,0,2,0,0,2,0,0,False,False,cell,Indicator
Participation rate of 4-years old in education at ISCED level 0-1,participation rate of 4-years old in education at isced level 0-1,measure,high,Matches a measure pattern and appears in a statistical-indicator column.,2,70,0,0,2,0,1,1,0,1,1,0,False,True,cell,Categorisation of active substances for harmonised risk indicator|Education indicator
Healthy life years at 50 in percentage of the total life expectancy,healthy life years at 50 in percentage of the total life expectancy,measure,high,Matches a measure pattern and appears in a statistical-indicator column.,2,66,0,0,2,0,1,1,0,1,1,0,True,True,cell,Geopolitical entity (reporting)|Health indicator
Healthy life years at 65 in percentage of the total life expectancy,healthy life years at 65 in percentage of the total life expectancy,measure,high,Matches a measure pattern and appears in a statistical-indicator column.,2,66,0,0,2,0,1,1,0,1,1,0,True,True,cell,Geopolitical entity (reporting)|Health indicator
Healthy life years at birth in percentage of the total life expectancy,healthy life years at birth in percentage of the total life expectancy,measure,high,Matches a measure pattern and appears in a statistical-indicator column.,2,66,0,0,2,0,1,1,0,1,1,0,True,True,cell,Geopolitical entity (reporting)|Health indicator
Life expectancy in absolute value at birth - females,life expectancy in absolute value at birth - females,measure,high,Matches a measure pattern and appears in a statistical-indicator column.,2,66,0,0,2,0,1,1,0,1,1,0,False,True,cell,Categorisation of active substances for harmonised risk indicator|Health indicator
Life expectancy in absolute value at birth - males,life expectancy in absolute value at birth - males,measure,high,Matches a measure pattern and appears in a statistical-indicator column.,2,66,0,0,2,0,1,1,0,1,1,0,False,True,cell,Categorisation of active substances for harmonised risk indicator|Health indicator
Abortion ratio,abortion ratio,measure,high,Matches a measure pattern and appears in a statistical-indicator column.,2,64,0,0,2,0,1,1,0,1,1,0,False,True,cell,Categorisation of active substances for harmonised risk indicator|Demographic indicator
Government investment,government investment,measure,high,Predominantly appears exclusively in statistical measure columns.,2,64,0,0,2,0,2,0,0,2,0,0,False,False,cell,Indicator
Gross value added,gross value added,measure,high,Matches a measure pattern and appears in a statistical-indicator column.,2,61,0,1,1,0,1,0,0,1,0,0,False,True,cell|title,Environment indicator|title
Abortion rate,abortion rate,measure,high,Matches a measure pattern and appears in a statistical-indicator column.,2,60,0,0,2,0,1,1,0,1,1,0,False,True,cell,Categorisation of active substances for harmonised risk indicator|Demographic indicator
Enterprise births - number,enterprise births - number,measure,high,Matches a measure pattern and appears in a statistical-indicator column.,2,60,0,0,2,0,1,1,0,1,1,0,False,True,cell,Economical indicator for structural business statistics|Geopolitical entity (reporting)
Enterprise deaths - number,enterprise deaths - number,measure,high,Matches a measure pattern and appears in a statistical-indicator column.,2,60,0,0,2,0,1,1,0,1,1,0,False,True,cell,Economical indicator for structural business statistics|Geopolitical entity (reporting)
Monthly minimum wage as a proportion of the median gross monthly earnings,monthly minimum wage as a proportion of the median gross monthly earnings,measure,high,Matches a measure pattern and appears in a statistical-indicator column.,2,57,0,0,2,0,2,0,0,2,0,0,False,True,cell,Structure of earnings indicator
Country weights for EU27 (from 2020),country weights for eu27 (from 2020),measure,high,Predominantly appears exclusively in statistical measure columns.,2,56,0,0,2,0,2,0,0,2,0,0,False,False,cell,Statistical information
Country weights for EU28 (2013-2020),country weights for eu28 (2013-2020),measure,high,Predominantly appears exclusively in statistical measure columns.,2,56,0,0,2,0,2,0,0,2,0,0,False,False,cell,Statistical information
