term,normalized_term,category,confidence,reason,table_count,total_occurrences,header_table_count,title_table_count,cell_table_count,unit_context_table_count,measure_context_table_count,generic_context_table_count,unit_only_table_count,measure_only_table_count,generic_only_table_count,mixed_context_table_count,unit_lexical_match,measure_lexical_match,sources,columns
Dutch guilder,dutch guilder,unit,high,Predominantly appears exclusively in unit columns.,1,2,0,0,1,1,0,0,1,0,0,0,False,False,cell,Currency
Estonian Kroon,estonian kroon,unit,high,Predominantly appears exclusively in unit columns.,1,2,0,0,1,1,0,0,1,0,0,0,False,False,cell,Currency
Finnish markka,finnish markka,unit,high,Predominantly appears exclusively in unit columns.,1,2,0,0,1,1,0,0,1,0,0,0,False,False,cell,Currency
French franc,french franc,unit,high,Predominantly appears exclusively in unit columns.,1,2,0,0,1,1,0,0,1,0,0,0,False,False,cell,Currency
German mark,german mark,unit,high,Predominantly appears exclusively in unit columns.,1,2,0,0,1,1,0,0,1,0,0,0,False,False,cell,Currency
Greek drachma,greek drachma,unit,high,Predominantly appears exclusively in unit columns.,1,2,0,0,1,1,0,0,1,0,0,0,False,False,cell,Currency
Irish pound,irish pound,unit,high,Predominantly appears exclusively in unit columns.,1,2,0,0,1,1,0,0,1,0,0,0,False,False,cell,Currency
Italian lira,italian lira,unit,high,Predominantly appears exclusively in unit columns.,1,2,0,0,1,1,0,0,1,0,0,0,False,False,cell,Currency
Latvian lats,latvian lats,unit,high,Predominantly appears exclusively in unit columns.,1,2,0,0,1,1,0,0,1,0,0,0,False,False,cell,Currency
Lithuanian litas,lithuanian litas,unit,high,Predominantly appears exclusively in unit columns.,1,2,0,0,1,1,0,0,1,0,0,0,False,False,cell,Currency
Luxembourg franc,luxembourg franc,unit,high,Predominantly appears exclusively in unit columns.,1,2,0,0,1,1,0,0,1,0,0,0,False,False,cell,Currency
Maltese lira,maltese lira,unit,high,Predominantly appears exclusively in unit columns.,1,2,0,0,1,1,0,0,1,0,0,0,False,False,cell,Currency
Portuguese escudo,portuguese escudo,unit,high,Predominantly appears exclusively in unit columns.,1,2,0,0,1,1,0,0,1,0,0,0,False,False,cell,Currency
Slovak koruna,slovak koruna,unit,high,Predominantly appears exclusively in unit columns.,1,2,0,0,1,1,0,0,1,0,0,0,False,False,cell,Currency
Slovenian tolar,slovenian tolar,unit,high,Predominantly appears exclusively in unit columns.,1,2,0,0,1,1,0,0,1,0,0,0,False,False,cell,Currency
Spanish peseta,spanish peseta,unit,high,Predominantly appears exclusively in unit columns.,1,2,0,0,1,1,0,0,1,0,0,0,False,False,cell,Currency
11 e,11 e,unit,high,Predominantly appears exclusively in unit columns.,1,1,0,0,1,1,0,0,1,0,0,0,False,False,cell,Unit of measure
Actual occupation BOD (1 000 kg O2/day),actual occupation bod (1 000 kg o2/day),unit,medium,Matches a unit pattern but appears in a mixed context.,1,1,0,0,1,0,0,1,0,0,1,0,True,False,cell,Plant capacity
Bosnia and Herzegovina convertible mark,bosnia and herzegovina convertible mark,unit,high,Predominantly appears exclusively in unit columns.,1,1,0,0,1,1,0,0,1,0,0,0,False,False,cell,Currency
"Index, 1991=100","index, 1991=100",unit,high,Matches a unit pattern and appears exclusively in unit columns.,1,1,0,0,1,1,0,0,1,0,0,0,True,False,cell,Unit of measure
Russian rouble,russian rouble,unit,high,Predominantly appears exclusively in unit columns.,1,1,0,0,1,1,0,0,1,0,0,0,False,False,cell,Currency
Serbian dinar,serbian dinar,unit,high,Predominantly appears exclusively in unit columns.,1,1,0,0,1,1,0,0,1,0,0,0,False,False,cell,Currency
